map1
161,832,392,856
545,832,853,857
965,830,1271,858
1425,830,1656,860
1794,833,2123,860
171,1114,377,1142
574,1115,822,1166
966,1117,1270,1142
1483,1119,1601,1143
1814,1116,2110,1142

map2
140,67,414,92
595,68,798,94
963,66,1268,95
1447,64,1629,92
1878,67,2042,92
217,352,330,380
555,352,840,399
966,353,1282,404
1403,352,1687,400
1855,352,2064,376
178,633,373,661
543,635,849,660
1026,634,1204,664
1422,633,1652,660
1787,634,2131,660
101,922,445,968
527,920,866,946
1038,917,1195,947
1449,920,1646,969
1882,916,2038,943
118,1202,434,1228
544,1200,853,1228
958,1203,1274,1228
1400,1202,1679,1224
1799,1204,2122,1250

map3
130,152,426,177
540,154,850,179
1026,153,1205,176
1371,151,1701,178
1820,155,2118,208
111,438,442,488
526,437,865,460
1013,436,1220,460
1397,437,1677,463
