98,618,466,815
518,620,885,815
939,618,1304,817
1362,620,1726,816
1786,622,2154,816
94,906,466,1099
523,905,883,1100
942,904,1308,1100
1364,903,1726,1096
1782,904,2144,1096
97,1184,469,1331
522,1186,887,1332
938,1188,1309,1332
1361,1186,1729,1329
1782,1186,2154,1332
94,0,466,52
514,2,888,49
938,2,1306,50
1358,2,1729,48
1779,0,2152,49
99,136,463,333
522,136,885,333
940,140,1308,336
1363,135,1726,337
1786,137,2146,333
95,419,463,619
517,419,880,618
940,418,1304,620
1361,424,1724,620
1784,420,2147,619
97,705,466,905
520,703,885,901
940,704,1308,900
1361,705,1727,904
1782,704,2146,900
96,988,464,1186
518,988,888,1186
942,987,1302,1187
1360,988,1729,1186
1782,991,2150,1187
99,1272,465,1331
522,1276,886,1331
937,1272,1306,1329
1365,1273,1726,1330
